City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Kapaa,US,73.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Vaini,TO,78.96,-21.2,-175.2,Keleti Beach Resort
6,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
7,Surt,LY,65.37,31.2089,16.5887,فندق المدينة
11,Hermanus,ZA,68.81,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Cape Town,ZA,77.11,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Poum,NC,77.99,-20.2333,164.0167,
21,Port Blair,IN,80.78,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
26,Mahebourg,MU,80.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
27,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
29,Airai,TL,60.06,-8.9266,125.4092,
30,Sena Madureira,BR,74.68,-9.0656,-68.6569,Hotel Central
32,Maralal,KE,66.45,1.0968,36.698,Ngari Hill Ecolodge
33,Wanlaweyn,SO,87.82,2.6185,44.8938,GAASHAAN HOME
34,Butaritari,KI,81.0,3.0707,172.7902,Isles Sunset Lodge
35,Hithadhoo,MV,81.59,-0.6,73.0833,Scoop Guest House
37,Souillac,MU,80.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Lar,IN,62.87,26.2039,83.9717,Ovaiskarni ward Lar
40,Carnarvon,AU,75.09,-24.8667,113.6333,Hospitality Carnarvon
41,Geraldton,AU,72.01,-28.7667,114.6,Broadwater Mariner Resort
45,Punta Arenas,CL,60.91,-53.15,-70.9167,Hotel Hain
46,Rikitea,PF,76.19,-23.1203,-134.9692,People ThankYou
47,Bredasdorp,ZA,68.29,-34.5322,20.0403,Bredasdorp Country Manor
50,Ribeira Grande,PT,66.6,38.5167,-28.7,Quinta da Meia Eira
51,Kununurra,AU,80.58,-15.7667,128.7333,Hotel Kununurra
54,Port Elizabeth,ZA,69.31,-33.918,25.5701,39 On Nile Guest House
55,Novo Aripuana,BR,86.29,-5.1206,-60.3797,Hotel Ezequiel
57,Palma,ES,68.04,39.5694,2.6502,Hotel Saratoga
59,Bambous Virieux,MU,79.21,-20.3428,57.7575,Casa Tia Villa
61,Hilo,US,68.25,19.7297,-155.09,Hilo Hawaiian Hotel
66,Garowe,SO,82.26,8.4054,48.4845,Sacaada Hotel
72,Comodoro Rivadavia,AR,71.02,-45.8667,-67.5,Austral Hotel
75,Sambava,MG,79.18,-14.2667,50.1667,Melrose
76,Busselton,AU,64.76,-33.65,115.3333,Observatory Guest House
77,Alto Lucero,MX,68.97,19.6167,-96.7167,Hotel Cantil
78,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
80,Atarra,IN,60.8,25.2833,80.5667,Akhand's _Hotel
